;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
United Nations;;;;;;;;;;;;;;;;;;;;;;
Population Division;;;;;;;;;;;;;;;;;;;;;;
Department of Economic and Social Affairs;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
World Population Prospects: The 2015 Revision;;;;;;;;;;;;;;;;;;;;;;
File POP/5: Median age by major area, region and country, 1950-2100 (years);;;;;;;;;;;;;;;;;;;;;;
Medium fertility variant, 2015 - 2100;;;;;;;;;;;;;;;;;;;;;;
POP/DB/WPP/Rev.2015/POP/F05;;;;;;;;;;;;;;;;;;;;;;
July 2015 - Copyright © 2015 by United Nations. All rights reserved;;;;;;;;;;;;;;;;;;;;;;
Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2015). World Population Prospects: The 2015 Revision, DVD Edition.;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;Median age of the total population (years);;;;;;;;;;;;;;;;;
Index;Variant;Major area, region, country or area *;Notes;Country code;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
24;Medium variant;Mayotte;;175;19.0;20.1;21.6;23.2;24.9;26.4;27.8;29.3;30.8;32.4;33.9;35.6;37.3;38.9;40.6;42.1;43.5;44.8
25;Medium variant;Mozambique;;508;17.1;17.6;18.2;18.9;19.6;20.4;21.4;22.4;23.5;24.6;25.8;27.0;28.2;29.4;30.5;31.7;32.8;33.9
26;Medium variant;Réunion;;638;34.3;35.9;37.3;38.7;40.0;41.5;43.0;44.4;45.7;46.7;47.6;48.4;49.3;50.2;51.0;51.7;52.1;52.4
27;Medium variant;Rwanda;;646;19.2;20.2;21.7;23.2;24.9;26.4;28.0;29.7;31.3;33.0;34.7;36.3;38.0;39.6;41.1;42.4;43.6;44.5
28;Medium variant;Seychelles;;690;32.6;34.2;35.8;37.2;38.2;38.5;38.8;39.7;41.1;42.1;42.8;43.2;43.6;44.1;44.8;45.6;46.3;46.8
29;Medium variant;Somalia;;706;16.5;16.8;17.2;17.7;18.3;19.0;19.8;20.8;21.7;22.7;23.7;24.7;25.8;26.9;28.0;29.1;30.2;31.3
30;Medium variant;South Sudan;;728;18.6;19.2;19.8;20.6;21.6;22.6;23.6;24.6;25.7;26.8;27.9;28.9;30.0;31.0;32.0;33.0;34.0;34.9
31;Medium variant;Uganda;;800;15.9;16.5;17.3;18.1;18.9;19.8;20.8;21.9;23.1;24.2;25.4;26.6;27.8;29.1;30.3;31.6;32.8;34.0
32;Medium variant;United Republic of Tanzania;2;834;17.3;17.6;18.1;18.8;19.6;20.4;21.3;22.2;23.2;24.2;25.2;26.3;27.4;28.5;29.5;30.6;31.7;32.8
33;Medium variant;Zambia;;894;16.9;17.3;17.9;18.5;19.2;19.8;20.6;21.4;22.2;23.0;23.9;24.7;25.6;26.5;27.4;28.3;29.2;30.1
34;Medium variant;Zimbabwe;;716;18.9;19.5;20.3;21.6;23.0;24.5;26.0;27.5;28.9;30.2;31.6;33.0;34.4;35.7;37.1;38.3;39.4;40.4
35;Medium variant;Middle Africa;;911;17.1;17.6;18.2;18.9;19.6;20.5;21.5;22.5;23.6;24.7;25.8;27.0;28.2;29.4;30.5;31.7;32.9;34.1
36;Medium variant;Angola;;24;16.1;16.5;17.1;17.7;18.4;19.1;19.9;21.0;22.0;23.1;24.2;25.3;26.5;27.7;28.9;30.1;31.3;32.6
37;Medium variant;Cameroon;;120;18.5;19.1;19.8;20.8;21.8;22.8;23.8;24.9;26.0;27.1;28.2;29.4;30.5;31.6;32.6;33.7;34.7;35.8
38;Medium variant;Central African Republic;;140;20.0;20.9;21.9;22.9;23.9;25.1;26.4;27.7;29.0;30.3;31.5;32.7;33.9;35.1;36.2;37.3;38.4;39.3
39;Medium variant;Chad;;148;16.0;16.5;17.2;17.9;18.7;19.5;20.5;21.7;22.8;23.9;25.0;26.2;27.4;28.5;29.7;30.9;32.1;33.3
40;Medium variant;Congo;;178;18.7;18.9;19.4;20.1;21.0;21.7;22.5;23.3;24.2;25.1;26.2;27.2;28.2;29.2;30.2;31.2;32.2;33.2
41;Medium variant;Democratic Republic of the Congo;;180;16.9;17.3;17.9;18.6;19.4;20.2;21.2;22.3;23.4;24.5;25.7;26.9;28.1;29.3;30.6;31.8;33.0;34.2
42;Medium variant;Equatorial Guinea;;226;20.5;21.0;21.5;22.3;23.2;24.2;25.3;26.5;27.8;29.0;30.3;31.7;33.0;34.3;35.6;36.8;38.0;39.2
43;Medium variant;Gabon;;266;21.4;22.2;23.0;24.0;25.1;26.4;27.7;29.0;30.2;31.4;32.6;33.8;34.9;36.0;37.1;38.1;39.0;39.9
44;Medium variant;Sao Tome and Principe;;678;18.5;19.1;20.0;21.2;22.4;23.5;24.5;25.5;26.5;27.6;28.6;29.6;30.7;31.7;32.7;33.7;34.5;35.4
45;Medium variant;Northern Africa;;912;25.1;26.1;26.8;27.7;28.5;29.6;31.0;32.2;33.4;34.4;35.2;36.1;37.0;37.9;38.9;39.9;40.8;41.6
