;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
United Nations;;;;;;;;;;;;;;;;;;;;;
Population Division;;;;;;;;;;;;;;;;;;;;;
Department of Economic and Social Affairs;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
World Population Prospects: The 2015 Revision;;;;;;;;;;;;;;;;;;;;;
File POP/2: Average annual rate of population change by major area, region and country, 1950-2100 (percentage);;;;;;;;;;;;;;;;;;;;;
Instant-replacement-fertility variant, 2015 - 2100;;;;;;;;;;;;;;;;;;;;;
POP/DB/WPP/Rev.2015/POP/F02;;;;;;;;;;;;;;;;;;;;;
July 2015 - Copyright © 2015 by United Nations. All rights reserved;;;;;;;;;;;;;;;;;;;;;
Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2015). World Population Prospects: The 2015 Revision, DVD Edition.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;Average annual rate of population change (percentage);;;;;;;;;;;;;;;;
Index;Variant;Major area, region, country or area *;Notes;Country code;2015-2020;2020-2025;2025-2030;2030-2035;2035-2040;2040-2045;2045-2050;2050-2055;2055-2060;2060-2065;2065-2070;2070-2075;2075-2080;2080-2085;2085-2090;2090-2095;2095-2100
24;Instant-replacement;Mayotte;;175;1.36;1.45;1.54;1.57;1.45;1.24;1.04;0.87;0.78;0.73;0.66;0.57;0.46;0.35;0.26;0.18;0.11
25;Instant-replacement;Mozambique;;508;0.89;1.08;1.26;1.35;1.27;1.10;0.95;0.82;0.74;0.69;0.60;0.48;0.34;0.23;0.15;0.12;0.13
26;Instant-replacement;Réunion;;638;0.65;0.67;0.61;0.51;0.38;0.25;0.13;0.04;0.01;-0.00;0.00;0.01;-0.00;-0.03;-0.06;-0.08;-0.09
27;Instant-replacement;Rwanda;;646;1.21;1.29;1.36;1.42;1.33;1.08;0.82;0.70;0.66;0.62;0.51;0.36;0.23;0.15;0.12;0.11;0.10
28;Instant-replacement;Seychelles;;690;0.40;0.28;0.19;0.15;0.09;-0.01;-0.13;-0.22;-0.25;-0.23;-0.19;-0.15;-0.12;-0.10;-0.07;-0.06;-0.06
29;Instant-replacement;Somalia;;706;0.54;0.93;1.15;1.28;1.18;0.86;0.58;0.51;0.52;0.50;0.37;0.20;0.06;0.00;0.01;0.05;0.09
30;Instant-replacement;South Sudan;;728;1.20;1.23;1.24;1.31;1.23;0.96;0.68;0.59;0.58;0.55;0.43;0.26;0.12;0.07;0.08;0.12;0.15
31;Instant-replacement;Uganda;;800;1.08;1.34;1.52;1.62;1.45;1.10;0.85;0.78;0.77;0.70;0.55;0.38;0.25;0.18;0.15;0.12;0.11
32;Instant-replacement;United Republic of Tanzania;2;834;1.11;1.29;1.46;1.53;1.40;1.12;0.90;0.80;0.76;0.69;0.57;0.42;0.28;0.19;0.12;0.07;0.04
33;Instant-replacement;Zambia;;894;1.08;1.26;1.45;1.57;1.45;1.14;0.91;0.81;0.77;0.70;0.57;0.41;0.28;0.20;0.15;0.11;0.09
34;Instant-replacement;Zimbabwe;;716;1.13;1.25;1.37;1.36;1.24;1.08;0.91;0.77;0.66;0.58;0.47;0.37;0.28;0.21;0.16;0.13;0.12
